SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2020,Northern Iowa,MVC,29,25,111.8,99.8,0.7871,54.8,48.5,18.6,15.6,28.9,22.5,27.6,25.8,52.6,47.2,38.6,33.7,65.7,0.9,,
2020,San Francisco,WCC,33,22,108.1,97.0,0.778,51.3,50.2,17.3,18.5,29.0,24.1,29.4,31.9,52.2,47.7,33.5,37.6,68.8,-2.4,,
2020,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33.0,35.9,48.4,46.8,34.6,33.7,69.2,-3.6,,
2020,Texas,B12,31,19,103.3,92.7,0.7761,49.9,46.9,20.5,20.8,26.7,32.2,22.0,35.3,49.7,46.3,33.5,32.2,65.9,1.0,,
2020,Davidson,A10,30,16,113.1,101.7,0.7726,53.4,49.4,16.5,17.2,24.6,24.8,31.5,32.7,52.0,49.1,36.8,33.2,64.6,-5.0,,
2020,North Texas,CUSA,29,20,111.6,100.3,0.7717,55.3,49.8,20.6,20.7,29.3,27.7,29.4,38.8,54.6,47.8,37.5,35.5,63.0,-3.5,,
2020,UCLA,P12,30,19,109.6,98.6,0.7717,48.4,50.9,19.5,19.4,34.5,25.4,37.6,35.2,48.4,46.9,32.2,38.3,64.9,-1.0,,
2020,Clemson,ACC,31,16,103.8,93.5,0.7706,50.1,48.3,18.5,20.0,23.3,24.5,28.9,28.7,52.6,47.9,31.5,32.6,66.0,-3.3,,
2020,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7,,
2020,Rhode Island,A10,30,21,104.7,94.4,0.7664,46.9,47.4,16.4,20.9,30.4,28.6,37.1,28.5,46.7,49.1,31.5,29.7,71.2,0.5,,
2020,Yale,Ivy,28,23,107.8,97.8,0.7551,53.8,46.5,18.5,16.6,25.8,21.3,31.2,25.7,52.7,46.9,36.9,30.6,67.3,-0.3,,
2020,Tulsa,Amer,31,21,102.2,92.7,0.7533,49.6,46.7,19.7,21.5,26.3,28.0,39.8,28.3,50.3,48.2,32.2,29.9,65.8,-1.0,,
2020,East Tennessee St.,SC,31,30,107.1,97.4,0.7505,53.5,49.8,18.2,22.4,31.8,26.2,36.9,33.1,55.2,51.1,33.9,31.7,66.0,2.5,,
2020,Georgetown,BE,32,15,110.2,100.1,0.7505,49.1,50.8,18.9,18.8,32.5,28.7,33.9,26.6,47.8,48.1,34.6,36.4,70.1,-2.7,,
