SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2024,North Alabama,ASun,30,15,103.9,112.0,0.2982,49.8,51.5,14.6,14.2,27.0,27.8,32.9,40.9,47.9,50.6,35.6,35.4,67.7,-12.0,,
2024,Western Illinois,OVC,29,21,97.1,104.6,0.2977,46.5,46.5,20.1,14.2,37.2,28.9,35.6,25.1,46.0,46.8,31.7,30.4,64.6,-8.0,,
2024,Middle Tennessee,CUSA,31,14,97.9,105.5,0.2971,46.0,49.5,20.6,15.8,28.2,30.4,34.9,29.6,45.6,49.0,31.1,33.8,65.3,-13.2,,
2024,Central Michigan,MAC,31,18,95.6,103.1,0.2954,46.8,47.3,17.5,16.2,28.6,30.7,27.4,30.6,47.7,47.7,30.1,31.2,65.3,-8.1,,
2024,Nebraska Omaha,Sum,29,15,102.5,110.7,0.293,49.5,53.4,14.5,15.9,24.7,26.4,39.7,32.2,50.5,53.3,31.6,35.7,67.3,-13.3,,
2024,Georgia Southern,SB,33,9,104.3,112.7,0.2908,50.8,52.0,18.8,17.3,28.8,33.9,28.9,43.1,49.3,51.4,35.2,35.5,68.8,-17.8,,
2024,Bucknell,Pat,33,14,98.7,106.7,0.2898,50.4,49.5,18.9,16.4,25.9,28.6,29.0,31.5,50.2,50.1,33.8,32.4,64.8,-14.5,,
2024,Lehigh,Pat,30,14,98.6,106.7,0.2877,49.5,51.7,16.9,17.9,22.0,23.5,33.0,29.6,50.2,50.7,32.2,35.6,70.0,-13.4,,
2024,Binghamton,AE,28,15,101.3,109.9,0.2805,49.4,50.0,18.0,13.3,29.1,25.0,34.3,34.8,51.4,48.4,29.9,35.0,66.5,-10.6,,
2024,Portland,WCC,31,12,103.5,112.4,0.2798,50.5,55.3,17.1,13.2,23.6,28.8,31.7,22.6,49.9,53.9,34.1,38.0,67.6,-13.3,,
2024,Utah Tech,WAC,30,11,99.0,107.8,0.2745,50.4,50.4,21.8,18.3,28.2,31.6,40.3,43.2,50.2,50.1,33.7,33.9,70.2,-14.0,,
2024,New Mexico St.,CUSA,28,13,99.1,107.8,0.2745,46.9,50.9,17.7,15.8,25.4,29.6,32.7,44.8,47.0,50.0,31.2,34.7,66.2,-12.5,,
2024,Oral Roberts,Sum,28,12,102.1,111.3,0.2721,51.1,51.4,14.2,14.5,20.9,30.6,26.0,32.3,49.1,50.0,36.0,35.8,67.6,-13.4,,
2024,New Hampshire,AE,30,16,97.6,106.4,0.2719,47.9,50.5,16.6,16.4,23.5,25.5,29.8,27.5,48.1,53.5,31.8,30.5,71.3,-9.3,,
2024,Kennesaw St.,ASun,28,15,103.6,112.8,0.2718,51.5,53.1,16.0,17.6,30.0,30.5,35.4,43.2,53.0,51.3,32.9,37.2,74.0,-12.5,,
2024,Central Connecticut,NEC,29,20,99.5,108.5,0.2702,50.2,49.6,16.7,17.5,27.6,26.8,33.0,26.7,50.8,48.2,32.8,34.8,66.7,-8.1,,
2024,USC Upstate,BSth,27,10,99.2,108.2,0.2689,49.6,52.0,16.4,18.6,23.9,34.3,29.5,45.0,50.2,53.0,32.5,33.5,67.0,-15.2,,
